Tile_Name,R_mean,R_std,R_min,R_max,G_mean,G_std,G_min,G_max,B_mean,B_std,B_min,B_max,Gray_mean,Gray_std,Gray_min,Gray_max,Edge_mean,Edge_std,Texture_contrast,Texture_energy,Texture_homogeneity,Texture_correlation,Area,Perimeter,Compactness,Hist_R,Hist_G,Hist_B,Saturation_mean,Brightness_mean,target
image_84,217.0356,18.0326,152.0,250.0,216.6318,18.2031,151.0,249.0,219.5083,18.7574,147.0,254.0,217.0805,18.1743,150.843,249.869,21.2925,13.6949,330.3055,0.7298,0.1035,0.9939,421.0,20.5183,1.0,29.0,29.0,29.0,3.0,219.0,1
image_83,214.5397,22.7208,126.0,255.0,215.2736,24.1277,124.0,255.0,218.1564,25.2778,125.0,255.0,215.3828,23.7761,124.712,254.701,19.8947,14.2259,565.3044,0.7221,0.1054,0.9926,793.0,28.1603,1.0,30.0,33.0,34.0,5.0,218.0,1
image_82,225.0871,6.1197,205.0,241.0,230.1303,6.1219,210.0,246.0,235.7454,6.2676,216.0,253.0,229.2625,6.0983,209.189,245.189,6.3344,4.4817,37.1897,0.8089,0.2542,0.976,2341.0,48.3839,1.0,9.0,9.0,9.0,11.0,235.0,1
image_79,172.642,24.9297,9.0,245.0,182.2881,26.1704,14.0,246.0,189.429,27.9601,7.0,251.0,180.218,25.844,11.707,246.271,11.0264,13.4664,667.9122,0.5097,0.1131,0.9759,958.0,30.9516,1.0,19.75,20.0,20.0,23.0,189.0,1
image_78,168.7501,46.3626,45.0,255.0,169.5321,44.6449,23.0,250.0,172.2554,41.2227,26.0,245.0,169.6087,44.2938,29.92,250.583,21.301,21.9251,1961.9395,0.4726,0.102,0.9659,2941.0,54.231,1.0,58.0,37.0,28.0,6.0,172.0,1
image_77,195.3977,49.2993,13.0,255.0,196.5234,43.6318,31.0,255.0,191.9689,46.6466,4.0,251.0,195.6676,45.5303,23.127,254.544,15.8989,15.3026,2073.0119,0.6207,0.0642,0.993,12623.0,112.3521,1.0,60.0,55.0,51.0,7.0,196.0,1
image_75,183.6559,13.5553,145.0,226.0,182.9328,12.991,148.0,224.0,182.0511,11.9044,148.0,225.0,183.0485,12.937,147.901,224.712,7.4043,7.0576,167.3666,0.5179,0.1495,0.9887,372.0,19.2873,1.0,19.0,18.25,16.0,1.0,183.0,1
image_69,137.3049,25.7765,6.0,217.0,133.2497,22.2722,27.0,210.0,128.7454,25.7158,0.0,206.0,133.9487,23.5944,17.643,211.05,10.3313,10.4135,556.6963,0.2845,0.1232,0.9814,3916.0,62.578,1.0,27.0,27.0,27.0,17.0,137.0,1
image_67,231.8423,14.355,187.0,254.0,237.2953,11.8208,199.0,255.0,241.5369,10.3752,208.0,255.0,236.1484,12.2709,199.129,254.701,8.9628,7.4859,150.574,0.8599,0.1825,0.9628,298.0,17.2627,1.0,17.75,15.0,15.0,11.0,241.0,1
image_62,225.3159,23.4405,136.0,255.0,222.3944,24.7757,134.0,255.0,218.8871,25.1128,134.0,253.0,222.8681,24.3529,134.94,254.772,23.0435,16.3915,593.0647,0.773,0.0991,0.9911,611.0,24.7184,1.0,35.0,37.0,36.0,8.0,225.0,1
image_61,224.7691,28.3579,54.0,255.0,225.9612,25.991,69.0,255.0,222.1956,32.534,26.0,255.0,225.1754,27.3799,59.613,255.0,10.0147,10.5762,749.6583,0.7913,0.1362,0.9946,3707.0,60.8851,1.0,21.0,21.0,22.0,3.0,225.0,1
image_60,207.8502,29.5073,73.0,250.0,211.3704,28.4282,76.0,249.0,211.587,29.1257,78.0,251.0,210.3426,28.7214,75.901,249.228,15.1664,21.283,824.9193,0.6931,0.0926,0.9931,988.0,31.4325,1.0,35.0,32.0,29.0,5.0,211.0,1
image_56,177.945,41.5625,46.0,255.0,165.6166,40.3612,38.0,255.0,155.4781,39.1421,36.0,251.0,168.147,40.4941,40.164,254.544,27.5442,22.5764,1639.7746,0.46,0.0699,0.9949,2144.0,46.3033,1.0,59.0,56.0,55.0,32.0,177.0,1
image_55,208.2645,19.106,71.0,235.0,209.8778,21.8124,60.0,238.0,211.998,22.7673,58.0,242.0,209.6371,21.0295,63.061,236.847,13.6411,15.7179,442.2411,0.6827,0.1502,0.9832,499.0,22.3383,1.0,15.0,18.0,19.0,4.0,211.0,1
image_133,155.6131,50.7747,78.0,255.0,153.631,49.2963,79.0,255.0,156.0952,44.8374,83.0,248.0,154.5045,49.1716,79.157,254.202,27.5135,23.3376,2417.8467,0.4043,0.0556,0.9975,168.0,12.9615,1.0,88.75,86.0,74.25,5.0,156.0,1
image_131,138.0422,37.633,22.0,255.0,138.0254,37.1895,15.0,255.0,139.6555,36.857,22.0,255.0,138.2163,37.081,17.891,255.0,20.9995,18.5107,1375.0011,0.3149,0.0969,0.9835,2084.0,45.6508,1.0,43.0,40.0,43.0,2.0,139.0,1
image_129,197.115,41.0437,96.0,255.0,133.0925,39.6271,40.0,201.0,129.395,33.5133,51.0,192.0,151.8137,39.2468,57.998,216.006,20.9301,22.1824,1540.3145,0.3781,0.0301,0.9919,400.0,20.0,1.0,77.25,74.0,61.25,88.0,197.0,1
image_128,129.5827,36.345,40.0,201.0,163.7375,30.8463,69.0,223.0,197.5933,21.7722,127.0,244.0,157.3848,31.3035,66.941,218.816,11.1241,10.6802,979.9096,0.396,0.0836,0.985,659.0,25.671,1.0,63.0,47.0,32.0,88.0,197.0,1
image_124,247.4727,6.0574,199.0,255.0,246.8221,6.2608,198.0,255.0,242.6736,6.6808,194.0,255.0,246.5437,6.2204,197.843,255.0,2.6863,2.8604,38.6928,0.9354,0.2336,0.9875,4356.0,66.0,1.0,9.0,10.0,10.0,5.0,247.0,1
image_123,172.5276,70.4352,49.0,255.0,200.5345,39.6405,117.0,255.0,228.7953,17.564,132.0,255.0,195.3821,44.7341,104.762,255.0,13.1644,14.2067,2001.1363,0.6178,0.0349,0.9781,4367.0,66.0833,1.0,144.5,76.0,21.0,63.0,228.0,1
image_122,135.5772,61.1172,38.0,255.0,177.9698,32.7477,85.0,255.0,220.176,22.6877,111.0,255.0,170.1059,36.9674,73.911,254.544,22.9847,15.0708,1366.5895,0.466,0.0711,0.9257,5393.0,73.437,1.0,109.0,44.0,31.0,99.0,220.0,1
image_113,148.852,19.4257,108.0,191.0,216.892,12.1366,190.0,243.0,247.092,7.1243,222.0,255.0,199.9908,13.2757,170.84,228.82,9.2656,8.4337,176.2445,0.6178,0.1332,0.9365,250.0,15.8114,1.0,37.0,21.0,12.0,102.0,247.0,1
image_108,229.1588,13.9722,166.0,255.0,230.4746,13.8693,166.0,255.0,228.7605,13.8945,166.0,255.0,229.8857,13.8726,166.0,255.0,12.2527,8.2849,192.4477,0.8157,0.1227,0.9948,1140.0,33.7639,1.0,24.0,24.0,25.0,2.0,230.0,1
image_104,131.9253,51.8142,34.0,241.0,213.2218,19.3139,90.0,248.0,240.8049,13.3872,123.0,255.0,192.0586,25.5018,77.018,246.705,16.0843,12.125,650.3431,0.5773,0.1121,0.713,2209.0,47.0,1.0,31.0,28.0,21.0,116.0,240.0,1
image_97,132.7193,31.956,30.0,224.0,197.2281,31.0269,65.0,232.0,232.4737,33.0009,93.0,255.0,181.9579,30.1415,57.727,232.002,12.9403,19.3263,908.5122,0.5231,0.1726,0.8169,57.0,7.5498,1.0,11.0,11.0,12.0,110.0,232.0,1
image_96,165.3483,35.688,29.0,255.0,192.6465,20.4078,67.0,255.0,206.1484,30.4772,90.0,255.0,186.0236,19.6607,58.26,253.712,8.0166,10.4764,386.5444,0.5381,0.1373,0.284,7158.0,84.605,1.0,67.0,26.0,51.0,51.0,206.0,1
image_95,150.6553,39.9638,55.0,253.0,123.8175,22.7347,49.0,174.0,121.2767,21.194,49.0,169.0,131.5524,23.773,50.794,197.051,8.8317,9.1239,565.1565,0.2748,0.113,0.4769,1178.0,34.322,1.0,49.0,36.0,32.0,49.0,150.0,1
image_93,149.7853,25.7519,86.0,210.0,164.442,21.764,90.0,218.0,176.3598,18.8686,93.0,221.0,161.4183,22.478,89.146,215.95,4.2388,8.5685,505.2621,0.4085,0.1017,0.9835,2129.0,46.1411,1.0,36.0,30.0,26.0,39.0,176.0,1
image_92,32.7073,8.8081,1.0,58.0,158.4958,7.2769,140.0,181.0,155.2605,6.9172,133.0,178.0,120.5162,7.4366,97.641,143.881,7.6849,5.4375,55.3034,0.2242,0.2239,0.8639,714.0,26.7208,1.0,12.0,11.0,10.0,203.0,158.0,1
image_90,175.8822,44.412,101.0,255.0,148.2234,52.3427,76.0,243.0,145.1494,55.8707,68.0,249.0,156.1429,49.7411,85.176,240.395,15.8378,17.5031,2474.1724,0.413,0.0294,0.9421,1867.0,43.2088,1.0,80.0,106.0,112.0,44.0,175.0,1
image_166,173.2627,26.3551,76.0,243.0,184.8731,26.8279,78.0,253.0,192.2753,27.4706,75.0,255.0,182.2454,26.5404,77.06,249.939,21.9269,18.1756,704.3916,0.5216,0.1037,0.9715,6067.0,77.8909,1.0,35.0,36.0,35.0,25.0,192.0,1
image_165,189.6317,18.5683,136.0,244.0,215.8717,17.3146,165.0,255.0,216.2113,18.3805,157.0,255.0,208.0646,17.6778,156.118,251.711,16.6734,11.6352,312.5033,0.6706,0.1249,0.973,1917.0,43.7836,1.0,26.0,26.0,26.0,32.0,216.0,1
image_164,198.4952,26.9278,65.0,255.0,211.3012,27.2,56.0,255.0,210.1296,28.197,51.0,255.0,207.3386,26.5215,58.121,254.202,22.0508,16.7623,703.3894,0.6719,0.1112,0.8844,5671.0,75.306,1.0,38.0,32.0,33.0,16.0,211.0,1
image_159,232.07,7.1138,210.0,254.0,232.5118,7.0579,212.0,254.0,231.5247,7.2021,209.0,252.0,232.2672,7.0344,211.06,253.772,8.3956,6.1182,49.4822,0.8304,0.2361,0.9767,1014.0,31.8434,1.0,10.0,10.0,9.0,1.0,232.0,1
image_156,147.3353,61.7806,28.0,251.0,205.6696,25.7248,129.0,255.0,234.5021,13.1377,151.0,255.0,191.5145,33.8761,111.363,253.804,15.4452,12.832,1147.5897,0.5817,0.057,0.9365,4921.0,70.1498,1.0,112.0,42.0,15.0,95.0,234.0,1
image_155,122.7492,58.7704,23.0,255.0,182.8513,27.8054,45.0,255.0,211.5347,35.8392,52.0,255.0,168.1507,30.3329,46.211,254.772,17.7941,16.8631,920.0876,0.449,0.0856,0.4854,3557.0,59.6406,1.0,105.0,35.0,43.0,108.0,211.0,1
image_154,190.0163,52.2399,22.0,255.0,192.8872,45.4627,32.0,255.0,194.0057,37.9604,41.0,248.0,192.1563,46.4023,30.378,254.202,12.1813,14.2721,2153.1762,0.601,0.0466,0.9871,7599.0,87.1722,1.0,92.0,73.0,55.0,5.0,194.0,1
image_153,93.3731,22.247,21.0,153.0,138.4419,18.8484,76.0,202.0,196.6932,16.668,142.0,255.0,131.6069,19.0732,69.963,193.391,17.8605,13.169,363.7854,0.272,0.1175,0.9368,4420.0,66.4831,1.0,34.0,27.0,24.0,134.0,196.0,1
image_151,133.5779,18.4305,81.0,174.0,200.3779,14.532,156.0,235.0,233.6131,12.5471,185.0,255.0,184.1935,15.1178,139.658,219.041,16.5786,11.0661,228.5466,0.5253,0.1285,0.9438,1675.0,40.9268,1.0,30.0,22.0,18.0,109.0,233.0,1
image_150,154.1969,40.5421,51.0,215.0,165.1288,50.757,10.0,219.0,178.2797,56.9849,18.0,254.0,163.3593,43.5661,23.171,217.673,13.73,19.2107,1898.0022,0.4396,0.0715,0.5599,1087.0,32.9697,1.0,75.0,42.5,55.0,34.0,178.0,1
image_149,174.1456,31.724,6.0,244.0,169.9523,30.3557,6.0,237.0,167.5271,30.4543,6.0,231.0,170.9296,30.6056,6.0,238.409,24.0273,17.8888,936.7029,0.4637,0.0911,0.9851,4861.0,69.7209,1.0,43.0,42.0,40.0,10.0,174.0,1
image_148,219.4858,15.7381,162.0,255.0,219.2937,14.4419,169.0,255.0,220.2664,13.6811,177.0,255.0,219.462,14.6788,167.819,255.0,17.4388,11.1099,215.4664,0.744,0.134,0.9871,2785.0,52.7731,1.0,23.0,22.0,21.0,1.0,220.0,1
image_147,218.2051,32.4257,73.0,255.0,213.8474,33.7209,64.0,255.0,209.7297,33.798,59.0,250.0,214.6809,33.3275,66.121,254.43,19.3998,15.5225,1110.7254,0.7259,0.1088,0.9983,629.0,25.0799,1.0,31.0,31.0,30.0,11.0,218.0,1
image_145,169.6133,18.6282,130.0,198.0,174.0667,18.8399,134.0,204.0,176.1467,18.4959,135.0,204.0,172.9722,18.7278,132.918,202.206,18.2435,16.339,350.7298,0.4655,0.0962,0.9986,75.0,8.6603,1.0,28.5,29.0,27.5,10.0,176.0,1
image_144,171.2586,16.7111,123.0,198.0,176.1034,17.0887,128.0,203.0,178.3966,16.4064,132.0,206.0,174.9163,16.8801,126.961,201.847,18.9694,13.335,284.9382,0.4749,0.1141,0.9974,58.0,7.6158,1.0,29.75,29.75,29.75,10.0,178.0,1
image_134,217.0247,24.6545,117.0,255.0,217.4625,25.4043,111.0,255.0,221.1348,25.3636,115.0,255.0,217.7503,25.1365,113.25,255.0,24.7563,16.0362,631.8436,0.7389,0.0943,0.9937,1254.0,35.4119,1.0,37.75,38.0,37.0,5.0,221.0,1
image_192,207.8586,26.8679,70.0,255.0,127.6628,23.5126,24.0,173.0,124.5461,21.5323,29.0,174.0,151.286,23.6563,39.025,196.834,14.774,14.8163,559.6198,0.3606,0.1356,0.8994,608.0,24.6577,1.0,23.0,19.0,20.0,102.0,207.0,1
image_190,112.2467,44.9894,0.0,232.0,112.224,44.9767,3.0,226.0,113.9168,47.8921,0.0,228.0,112.4237,45.0068,4.109,228.022,19.9376,17.7464,2025.6133,0.2255,0.0593,0.9804,1670.0,40.8656,1.0,63.0,64.75,73.0,2.0,113.0,1
image_189,135.8585,18.5383,56.0,194.0,215.1188,15.9005,140.0,244.0,243.7731,12.4504,180.0,255.0,194.6866,15.3496,124.004,230.304,5.7709,7.508,235.61,0.5865,0.1358,0.7908,2508.0,50.0799,1.0,19.0,18.0,17.0,113.0,243.0,1
image_187,176.0396,37.9353,60.0,232.0,186.35,33.6842,70.0,233.0,188.4146,40.5084,54.0,237.0,183.5025,35.451,66.896,233.157,11.6041,17.1315,1256.7742,0.5372,0.0644,0.991,480.0,21.9089,1.0,62.0,52.0,45.25,16.0,188.0,1
image_186,131.059,46.8237,25.0,218.0,137.3097,46.3933,31.0,225.0,146.5064,43.9367,45.0,228.0,136.4892,46.2265,30.802,222.95,13.4128,15.6425,2136.8929,0.3194,0.0659,0.9993,1017.0,31.8904,1.0,64.0,64.0,60.0,26.0,146.0,1
image_184,18.3487,8.4684,0.0,36.0,119.5714,13.1056,89.0,148.0,188.3655,13.2239,159.0,217.0,97.1484,11.2368,70.896,121.253,10.8469,7.5306,126.2661,0.1471,0.1738,0.778,238.0,15.4272,1.0,11.0,20.0,20.0,231.0,188.0,1
image_182,233.0789,7.2453,220.0,248.0,234.1579,7.3396,221.0,248.0,233.3684,7.249,219.0,248.0,233.7453,7.2524,220.929,248.0,9.2759,6.3089,52.5971,0.8411,0.255,0.985,38.0,6.1644,1.0,10.75,10.75,10.0,1.0,234.0,1
image_178,138.2468,21.8568,82.0,184.0,132.539,21.9122,77.0,178.0,134.6494,21.3859,81.0,178.0,134.4862,21.7991,78.951,179.794,25.6579,16.4462,475.2024,0.2855,0.1019,0.9965,154.0,12.4097,1.0,32.75,33.75,32.75,11.0,138.0,1
image_177,148.3077,47.7297,33.0,215.0,148.5385,47.5878,31.0,211.0,156.044,46.9376,39.0,219.0,149.3251,47.5413,32.852,211.934,29.1416,26.4752,2260.171,0.3777,0.0726,0.9988,91.0,9.5394,1.0,76.5,77.0,76.0,13.0,156.0,1
image_176,142.7882,58.356,26.0,255.0,160.0632,40.3411,19.0,250.0,185.5095,29.3291,25.0,239.0,157.7988,42.5515,22.902,250.241,15.8266,16.1183,1810.6288,0.4108,0.0528,0.9386,5712.0,75.5778,1.0,106.0,66.0,28.0,59.0,185.0,1
image_175,104.3945,41.1045,39.0,224.0,135.0079,31.3684,52.0,223.0,178.0237,22.8718,61.0,228.0,130.7583,32.1372,53.14,223.869,14.6334,17.1222,1032.8026,0.2788,0.1011,0.9518,758.0,27.5318,1.0,38.0,37.0,27.0,106.0,178.0,1
image_174,195.1273,23.178,138.0,247.0,192.8182,23.6655,132.0,237.0,192.7636,24.4997,132.0,235.0,193.5024,23.395,133.794,239.762,18.533,16.246,547.3249,0.5842,0.0868,0.9641,110.0,10.4881,1.0,30.5,33.75,39.0,4.0,195.0,1
image_173,175.1313,45.246,23.0,248.0,185.0918,43.4315,36.0,255.0,192.5538,39.8419,45.0,255.0,182.9643,43.4556,34.296,252.907,9.8149,20.9711,1888.3891,0.5439,0.0498,0.9923,1896.0,43.5431,1.0,64.0,60.25,55.0,23.0,192.0,1
image_171,200.0205,19.5808,82.0,233.0,203.4241,17.258,85.0,235.0,206.9201,15.3003,92.0,234.0,202.8049,17.6516,84.901,234.288,7.2282,6.3043,311.5799,0.6373,0.1287,0.9877,1903.0,43.6234,1.0,21.0,19.0,16.5,7.0,206.0,1
image_170,172.0431,32.2976,51.0,253.0,180.2267,29.4991,45.0,249.0,188.5686,26.6414,55.0,255.0,178.7308,29.7255,47.934,250.082,16.0612,18.1567,883.6077,0.5049,0.0983,0.9723,4247.0,65.169,1.0,40.0,34.0,34.0,22.0,188.0,1
image_167,113.1368,45.1795,20.0,228.0,117.7872,47.8306,25.0,219.0,121.652,54.7302,18.0,222.0,116.8373,47.5401,22.821,222.033,15.9243,17.4346,2260.0627,0.2447,0.0443,0.9764,658.0,25.6515,1.0,75.0,88.0,101.75,17.0,121.0,1
image_218,129.1499,42.3024,10.0,252.0,170.6527,27.2244,57.0,243.0,199.93,38.2343,55.0,251.0,161.581,26.8827,59.164,244.665,20.0758,26.1117,722.6777,0.4126,0.1221,0.4825,3588.0,59.8999,1.0,47.25,28.0,47.0,90.0,199.0,1
image_217,73.7673,50.3063,0.0,194.0,151.0528,21.4116,77.0,206.0,194.1204,14.2679,137.0,225.0,132.8541,27.2064,60.817,204.008,10.9957,12.9557,740.1868,0.2828,0.1265,0.8331,739.0,27.1846,1.0,25.5,29.0,18.0,159.0,194.0,1
image_214,182.4603,32.0805,61.0,255.0,188.6506,28.019,98.0,255.0,192.9287,28.0812,104.0,255.0,187.2874,28.0517,98.983,255.0,14.9332,12.9267,786.8996,0.5515,0.1057,0.8625,1614.0,40.1746,1.0,38.0,34.0,35.0,13.0,192.0,1
image_213,202.1424,41.3552,71.0,255.0,210.4031,34.2738,63.0,255.0,217.1022,31.2231,66.0,255.0,208.6968,34.7892,67.827,255.0,14.3724,15.5147,1210.2917,0.6884,0.0643,0.939,6574.0,81.0802,1.0,76.0,50.0,30.0,18.0,217.0,1
image_210,160.9937,59.2935,36.0,251.0,158.6439,59.4338,37.0,247.0,161.0054,53.0438,44.0,243.0,159.6157,58.5623,39.293,247.17,11.9661,14.9675,3429.5384,0.4445,0.0357,0.9948,1115.0,33.3916,1.0,117.5,116.0,102.0,5.0,161.0,1
image_209,222.8594,25.5102,62.0,255.0,218.5166,25.8304,57.0,255.0,212.6463,25.7619,54.0,251.0,219.1459,25.7134,58.153,254.43,34.184,20.1359,661.1792,0.7487,0.0878,0.999,3186.0,56.4447,1.0,42.0,42.0,41.0,11.0,222.0,1
image_208,221.7126,24.699,139.0,255.0,215.6922,25.0695,131.0,255.0,210.0879,25.0066,128.0,251.0,216.8534,24.9326,133.05,254.43,33.8172,19.4436,621.6352,0.7327,0.0873,0.9974,1764.0,42.0,1.0,41.0,42.0,41.0,13.0,221.0,1
image_207,54.0358,16.4629,18.0,113.0,140.3403,17.9255,89.0,195.0,194.7045,15.4539,148.0,243.0,120.7328,17.0054,74.796,175.84,12.9448,12.2493,289.185,0.2286,0.1362,0.9617,335.0,18.303,1.0,20.5,23.0,21.0,184.0,194.0,1
image_204,46.8477,27.3427,0.0,167.0,96.0653,38.1958,14.0,239.0,144.3606,38.9112,43.0,255.0,86.8549,34.4308,13.12,219.296,16.9424,14.2623,1185.4783,0.1342,0.0932,0.9295,2160.0,46.4758,1.0,27.0,41.0,46.0,174.0,144.0,1
image_203,187.6184,36.8593,134.0,236.0,112.9474,35.8351,59.0,159.0,111.4211,29.6139,63.0,153.0,135.1,35.3894,81.881,181.339,25.4673,27.63,1252.4087,0.3,0.0401,0.9978,76.0,8.7178,1.0,75.25,73.5,61.25,104.0,187.0,1
image_200,227.9503,5.5758,212.0,244.0,224.7801,5.5462,212.0,240.0,218.2094,5.4423,204.0,233.0,224.9789,5.4874,211.088,240.17,2.7093,2.4612,30.1114,0.7789,0.2647,0.9637,764.0,27.6405,1.0,8.0,9.0,8.0,10.0,227.0,1
image_199,126.9294,19.3195,68.0,184.0,129.8353,19.8351,69.0,182.0,136.1412,20.3054,74.0,187.0,129.6853,19.6909,69.271,183.168,18.3368,16.1241,387.7334,0.2646,0.1508,0.992,85.0,9.2195,1.0,23.0,25.0,25.0,19.0,136.0,1
image_196,89.3487,26.6719,27.0,196.0,111.3858,27.7486,30.0,188.0,140.9707,45.6476,46.0,242.0,108.1694,25.4157,32.123,190.05,19.4564,16.4885,645.9595,0.1899,0.0924,0.5372,1672.0,40.8901,1.0,29.0,43.0,88.0,93.0,140.0,1
image_195,178.4262,29.0104,51.0,218.0,181.272,29.4118,48.0,217.0,185.814,29.6821,54.0,225.0,180.9389,29.2211,50.179,217.157,14.1139,15.4204,853.8705,0.5166,0.1025,0.99,2140.0,46.2601,1.0,22.0,21.0,21.0,10.0,185.0,1
image_194,188.4161,32.58,0.0,239.0,193.8213,27.1172,48.0,237.0,200.0832,27.1472,44.0,243.0,192.919,27.4491,53.129,236.673,12.4212,16.4007,753.4532,0.5839,0.1156,0.8527,12554.0,112.0446,1.0,25.0,19.0,16.0,15.0,200.0,1
image_193,195.8714,17.6086,130.0,227.0,202.4595,15.344,134.0,230.0,210.0275,13.5803,137.0,236.0,201.3524,15.6807,133.146,229.673,15.3394,13.5638,245.8829,0.6273,0.1611,0.9766,692.0,26.3059,1.0,18.0,17.0,17.0,18.0,210.0,1
image_244,151.5552,22.0333,78.0,233.0,209.0482,18.4097,125.0,243.0,234.5048,18.5438,140.0,255.0,194.7599,18.4372,115.049,240.238,11.184,11.3981,339.9294,0.5886,0.119,0.8083,933.0,30.545,1.0,25.0,26.0,27.0,90.0,234.0,1
